Designator,Footprint,Quantity,Value,LCSC Part #
"C221, C301, C304",0402,3,100nF,C1525
"C302, C303, C307, C309",0402,4,1uF,C52923
"C305, C306, C308",0603,3,10uF,C96446
CON101,CON-GEN-USB_C-16P,1,G Switch GT USB 7010ASV,C2988369
"CON102, CON103",CON-SM02B-ZESS_TB,2,SM02B-ZESS-TB,
D101,SOT-23-6,1,USBLC6-2,C7519
D301,0603,1,GREEN,C84267
D302,0603,1,RED,C2286
"FID101, FID102, FID103, FID104",PCB-FID-JLCPCB,4,Fiducal-JLCPPCB,
IC202,DNF-1.5x1.5_H0.54-SHT40-AD1B_THPAD,1,IC_SENS-SHT40-AD1B_THP,C2848306
IC301,WSON-6_1.5x1.5mm_P0.5mm,1,IC_PWREG-BQ29700,C183096
IC302,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,1,IC_PWREG-NPM1300,
J201,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
L301,L_0806,1,2.2uH,    C2838367
M201,M-NRF52840,1,~,
"MH101, MH102, MH103, MH104",MountingHole_2.5mm_Pad_Via,4,~,
"PCB101, PCB102, PCB103, PCB104",PCB-NPTH-JLCPCB,4,Tooling Hole JLCPCB,
"R201, R306",0603,2,10k,C142556
"R202, R301",0402,2,10k,C25744
"R204, R206, R207, R208",0402,4,4k7, C25900
"R205, R210",0402,2,1M,C138033
R211,0402,1,750k,C137937
R302,0402,1,2k,C4109
R303,0402,1,330,C25104
R304,0402,1,200k,C25764
R305,0402,1,0,C17168
T301,SOT-23,1,SI2312BDS, C351405 
T302,SOT-23-6,1,DMG6968UDM, C2762931
"TP204, TP205, TP301, TP302, TP304, TP305, TP306, TP310",TP_Pad_D0.9mm,8,TP,
"TP303, TP308, TP309",TP_THT_D0.8mm,3,Testpoint-BASE,
